token_type,token_address,receiver,amount,Username,Task,Division 
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C,4000,0xAA#2040,Core contributor,Ops Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7,4000,MatterTurbulent#5161,Core contributor,Ops Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x352D7C5A967e6AdD367D24c764Eb4888E631801f,4000,Prye#4845,Core contributor,Ops Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7f0cee1044269a8b3d809438ffd77baca4d72103,4000,pikachu#6696,Core contributor,Ops Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x0C3baea2FE713be081A366c5b405da5Ea1236751,4000,Mosa,Core contributor,Ops Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3317AD9eDa6942b5a7BE5BA83346C0Ea82C3C26C,1872,0xAA#2040,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xc8eAd785187B816AEAf6387aAcB4ec0d826868d7,1872,MatterTurbulent#5161,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7f0cee1044269a8b3d809438ffd77baca4d72103,1872,pikachu#6696,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x352D7C5A967e6AdD367D24c764Eb4888E631801f,1872,Prye#4845,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x0C3baea2FE713be081A366c5b405da5Ea1236751,1872,Mosa,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x6c965b656c450259a6d4d95a2e68fb4319eecbc0,1872,Rohekbenitez,Ops Team,Multisignee
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x0C3baea2FE713be081A366c5b405da5Ea1236751,3000,Mosa,April accounting,Accounting Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x352D7C5A967e6AdD367D24c764Eb4888E631801f,2000,Prye#4845,Files repository maintenance,Developer Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xe176ee233a6c707c38cd286a89ecc026cd347777,597,0x179,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xef7198f822fd7979d2b44447fd15b33f9e845fc3,597,小大阳,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd2c185c0b8b0f7001a3408689fa22ca8490002fa,596,cara,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf827CA6B495A1602127f087237d331715E5079F2,596,Palpitate,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xf3692C17C200bBfA24f00f1b1fD7dcDe87CaD777,596,悠,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xdab9c2c077bf083f335953beb41442a9b6a0f36c,596,小马哥,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd96be4a495101393d54c84ad903d4f005178a716,463,Jacob,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8424817Abd427e3CF87Cfb9D9F4199Df7b96d843,596,Single,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x929A29E202e75A653f6799EDE18DB3315992B80d,597,琳子,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x2E00f7108baa26A7E76DD3bEA40405077DA69EFE,596,初见,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd9293636EE3Aa663fc563ADB0912B0705dAfb62c,596,因为,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xbAb1315f63134691634F722F9e393fBE4F12c2AD,529,Micro Negro,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x1cD51670bD685D800AF3bdAfD4088Ced904aE1C0,596,褪色i,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9447035fE567aE30323EA0421F9f38CF2D226465,597,people,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x84c7F981A3d3DA992Ed3b0245699f6D45ee961a8,596,dragonwd,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xfd7eb64b2542636a9899cc519ef23d01df3e8e53,529,L.E.V.D,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7a84B21dFf95E3Be0Da85978A48e4362d7F68D0e,596,Zzy,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xd03686d054a2c38ae2cefb0c5baff1831b6bb76f,596,小元,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x3F8f23Cb92659957bCeC5A705e44fAFBcf49e54e,529,Kleinwang,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8eac64739397cf8b547c3f52d34dff7da227f0fb,529,张明鑫,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x5834621f3a246440506065acc6f2edb632293109,132,D.K.,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xDF594FbaE9f0b800820624dcDB74D2C8F575312b,597,小轩,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x162ede034b826e14ba82a52ca273f4695cd8e350,597,岁月时光,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9326A94de5CB1517f99FB03C8e89783Aa005328d,397,andrewding.eth,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x8126A78148F41771873c0ad18db477e7BA4B75A6,596,x13,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x9cf5044ad2be2ee92a7ae846d15c53450d5101be,596,——順風順水,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x51919d32c030f027bb676548d21ef61cea9377b4,596,小龙虾,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xfe4902a8bf676a024098d9e518f230deb291e77c,596,XH,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x6D7928c2E2a93f2E7046d2495b05e5cd7C06CE51,529,?,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x1b4535700c272737D7848c0262526f0c781f2e0D,597,jiayue110,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xda3679e7c9c6ab5655509acbc8752985b78a71e1,596,杞人忧天,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x7bab8842f442de56129d077f0f48e38e76874e32,198,T,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x45deede453bec405fbbd729b2f1a2b5ae4d7cc07,596,参商永离,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x40c7e2acfdd379dbba75e80d62c0ed9983f025e7,596,Elk,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xa8370a9ba087a29692b0c51f6656955ad1c660e5,596,豆豆,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0xcc06058c0cc23cc8aa9b9784995217e76e96f6b5,596,二牛,social media group,Marketing Team
erc20,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0x67c2d206509e75173db15d915ffb852bd5ffe0ec,66,xq,social media group,Marketing Team
